Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Toyota,Corolla Le,64.8641802,13995.0,2011,9400,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8301270,,122377200
Honda,Fit Sport,64.10664049,14999.0,2018,15568,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8283277,"Honda_Fit_2018_in_Cottonwood_Heights,_UT",157081120
Hyundai,Accent Se,60.29337787,14999.0,2020,9000,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8259334,"Hyundai_Accent_2020_in_Murray,_UT",127260000
Nissan,Murano Platinum,58.27182367193228,14000.0,2015,198,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8390062,,14573820
Mitsubishi,Mirage Es,54.85245468,14995.0,2021,2680,1/12/2023,KSL,False,,https://cars.ksl.com/listing/7882366,,61450370
Ford,Focus Sel,53.94063717,13999.0,2018,24277,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8276224,https://cars.ksl.com/images/no-image-defaults/cars-noimage_hatchback-lrg.png?filter=marketplace/400x300_dealer,203019440
Ford,Fiesta S,52.71404403,14899.0,2019,24861,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8190853,https://img.ksl.com/mx/mplace-cars.ksl.com/105985-1670446426-336990.jpg?filter=marketplace/400x300_dealer,207332996
Ford,Fusion Titanium,52.33154468,12995.0,2016,24935,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8263287,https://img.ksl.com/mx/mplace-cars.ksl.com/3033386-1670084966-112628.jpg?filter=marketplace/400x300_dealer,211796715
Ford,Fiesta Se,50.43464552,12971.0,2019,29473,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8223686,https://img.ksl.com/mx/mplace-cars.ksl.com/2733291-1668064320-301187.jpg?filter=marketplace/400x300_dealer,244211115
Ford,Fiesta Se,50.27522565235011,13000.0,2016,31895,2023-02-15,KSL,False,5.0,https://cars.ksl.com/listing/8230222,,263051280
Honda,Civic Lx,49.88495688974762,13995.0,2017,32730,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8369184,,335568090
Ford,Fiesta Se,49.7363043,10900.0,2014,28000,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8216882,https://img.ksl.com/mx/mplace-cars.ksl.com/2610677-1667715451-566013.jpg?filter=marketplace/400x300_dealer,230669200
Harley,Davidson Heritage Softail,46.54669942,14495.0,2012,547,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8159132,,23272634
Ford,Focus S,46.21100146890687,12985.0,2016,36851,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8130032,,301347634
Hyundai,Elantra Se,45.07356294,13900.0,2018,20000,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8271236,"Hyundai_Elantra_2018_in_Bountiful,_UT",282520000
Mitsubishi,Mirage Es,45.02801876,12571.0,2022,16980,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8130096,,348426855
Ford,Focus S,44.7189801,12985.0,2016,36851,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8130032,,301165844
Toyota,Corolla S,44.36570248,14900.0,2016,28275,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8326849,,347914800
Honda,Civic Lx,44.3631516,12000.0,2013,35421,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8259664,,360736365
Chevrolet,Aveo Aveo5 Lt,44.22811452,8900.0,2010,20000,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8258753,"Chevrolet_Aveo_2010_in_Bountiful,_UT",361800000
Kia,Sportage Lx,43.44126008,13995.0,2019,10952,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8282998,"Kia_Sportage_2019_in_Lehi,_UT",66336264
Nissan,Versa Note S Plus,43.23310282,11495.0,2016,23054,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8197964,"Nissan_Versa_Note_2016_in_South_Jordan,_UT",278861184
Mitsubishi,Mirage Es,42.12945282,12741.0,2022,16980,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8130096,,348151698
Mitsubishi,Mirage Es,41.68924256,10995.0,2020,17919,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8316855,,366020955
Hyundai,Elantra Sel,41.67374806,12450.0,2018,29521,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8364511,,422628596
