Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments,OnSale,Days
Ford,Fiesta,41.20875294,13677,2016,32706,12/22/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170793399/ford/fiesta?source=UsedCarListings&savedVehicleId=&recentSearchId=13290738,Images/2022_12_22_199_3.png,263741184,,,,,,,,,,,,FALSE,
Hyundai,Elantra,37.45882184,14600,2018,25322,1/12/2023,CarsDirect,,Images/2023_01_12_30_17.png,361479972,,,,,,,,,,,,FALSE,
Chevrolet,Cruze,32.98703803,14500,2018,29490,1/12/2023,CarsDirect,,Images/2023_01_12_199_22.png,537917380,,,,,,,,,,,,FALSE,
Chevrolet,Cruze,32.18861003,14995,2018,29490,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170122385/chevrolet/cruze?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_25_17.png,538146530,,,,,,,,,,,,FALSE,
Chevrolet,Cruze,32.18861003,14995,2018,29490,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170122385/chevrolet/cruze?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_2_17.png,535597380,,,,,,,,,,,,FALSE,
Mitsubishi,Mirage G4,30.46766844,14522,2019,21601,1/12/2023,CarsDirect,,Images/2023_01_12_175_1.png,440045130,,,,,,,,,,,,FALSE,
Ford,Fiesta,29.04298773,12289,2015,44739,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2169275828/ford/fiesta?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_40_9.png,360596340,,,,,,,,,,,,FALSE,
Ford,Fiesta,29.04298773,12289,2015,44739,12/29/2022,CarsDirect,,Images/2022_12_29_125_9.png,362734626,,,,,,,,,,,,FALSE,
Hyundai,Sonata,27.83603943,14250,2017,33785,1/12/2023,CarsDirect,,Images/2023_01_12_186_24.png,479318915,,,,,,,,,,,,FALSE,
Ford,Fiesta,27.69680901,13207,2015,44693,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2169275828/ford/fiesta?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_186_4.png,360225580,,,,,,,,,,,,FALSE,
Nissan,Versa,27.07618768,14198,2021,38716,1/12/2023,CarsDirect,,Images/2023_01_12_113_11.png,471386946,,,,,,,,,,,,FALSE,
Hyundai,Sonata,27.0064486,13995,2017,35000,1/12/2023,CarsDirect,,Images/2023_01_12_94_23.png,496432190,,,,,,,,,,,,FALSE,
Nissan,Versa,26.85854122,14358,2021,38696,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168720947/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_167_15.png,469227696,,,,,,,,,,,,FALSE,
Nissan,Versa,26.85854122,14358,2021,38696,12/29/2022,CarsDirect,,Images/2022_12_29_8_15.png,471094236,,,,,,,,,,,,FALSE,
Nissan,Versa,26.18381402,14198,2021,39623,1/12/2023,CarsDirect,,Images/2023_01_12_115_12.png,482314238,,,,,,,,,,,,FALSE,
Nissan,Versa,26.0803718,14084,2021,39900,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_52_4.png,485658320,,,,,,,,,,,,FALSE,1
Mitsubishi,Mirage G4,26.05090645,13259,2020,28895,1/12/2023,CarsDirect,,Images/2023_01_12_4_20.png,586781606,,,,,,,,,,,,FALSE,
Fiat,500e,26.01127286,14812,2017,23538,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_66_3.png,191445032,,,,,,,,,,,,FALSE,1
Fiat,500e,26.01127286,14812,2017,23538,12/22/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168000908/fiat/500e?source=UsedCarListings&savedVehicleId=&recentSearchId=13290738,Images/2022_12_22_23_8.png,189904584,,,,,,,,,,,,FALSE,
Nissan,Versa,25.94985933,14358,2021,39623,12/29/2022,CarsDirect,,Images/2022_12_29_141_16.png,482263248,,,,,,,,,,,,FALSE,
Nissan,Versa,25.94985933,14358,2021,39623,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168726740/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_116_16.png,480468498,,,,,,,,,,,,FALSE,
Nissan,Versa,25.84973291,14242,2021,39900,12/29/2022,CarsDirect,,Images/2022_12_29_103_14.png,485607650,,,,,,,,,,,,FALSE,
Ford,Focus,25.7016192,14995,2018,47105,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2152658825/ford/focus?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_77_9.png,382255885,,,,,,,,,,,,FALSE,
Ford,Focus,25.7016192,14995,2018,47105,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_96_8.png,382105935,,,,,,,,,,,,FALSE,1
Smart,Fortwo Electric Drive,25.69681906,12900,2016,25707,1/12/2023,CarsDirect,,Images/2023_01_12_57_18.png,265899060,,,,,,,,,,,,FALSE,
Hyundai,Sonata,25.5393348,14995,2017,35000,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2160776862/hyundai/sonata?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_105_18.png,494165000,,,,,,,,,,,,FALSE,
Hyundai,Sonata,25.5393348,14995,2017,35000,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2160776862/hyundai/sonata?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_2_18.png,496594190,,,,,,,,,,,,FALSE,
Nissan,Versa,25.33187434,14599,2021,39900,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168684495/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_7_18.png,483827400,,,,,,,,,,,,FALSE,
Chevrolet,Cruze,25.23436007,14429,2015,34120,12/29/2022,CarsDirect,,Images/2022_12_29_47_21.png,620569825,,,,,,,,,,,,FALSE,
Nissan,Sentra,24.88834474,13862,2017,37377,1/12/2023,CarsDirect,,Images/2023_01_12_25_3.png,454332582,,,,,,,,,,,,FALSE,
Nissan,Sentra,24.8811788,13867,2017,37377,12/29/2022,CarsDirect,,Images/2022_12_29_186_2.png,454333302,,,,,,,,,,,,FALSE,
Smart,Fortwo Electric Drive,24.83130245,13500,2016,25707,12/29/2022,CarsDirect,,Images/2022_12_29_191_18.png,265930560,,,,,,,,,,,,FALSE,
Chevrolet,Cruze,24.8291764,14711,2015,34120,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170354590/chevrolet/cruze?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_95_14.png,620678630,,,,,,,,,,,,FALSE,
Ford,Focus,24.59341204,12620,2015,48754,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2167826926/ford/focus?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_144_3.png,394597840,,,,,,,,,,,,FALSE,
Nissan,Sentra,24.4215642,14189,2017,37377,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168076309/nissan/sentra?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_113_1.png,454549938,,,,,,,,,,,,FALSE,
Smart,Fortwo Electric Drive,24.26140249,13900,2016,25707,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2166758019/smart/fortwo-electric-drive?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_102_10.png,266424060,,,,,,,,,,,,FALSE,
Nissan,Versa,24.1737059,13693,2021,42474,12/29/2022,CarsDirect,,Images/2022_12_29_133_13.png,516682884,,,,,,,,,,,,FALSE,
Mitsubishi,Mirage G4,24.13953131,14588,2020,28895,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2162873641/mitsubishi/mirage-g4?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_111_13.png,583679000,,,,,,,,,,,,FALSE,
Mitsubishi,Mirage G4,24.13953131,14588,2020,28895,12/29/2022,CarsDirect,,Images/2022_12_29_182_20.png,586830008,,,,,,,,,,,,FALSE,
Chevrolet,Spark Ev,23.90601217,13615,2015,36739,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_103_9.png,668766925,,,,,,,,,,,,FALSE,1
Volkswagen,Jetta,23.24620659,14500,2016,37141,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2163899081/volkswagen/jetta?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_13_11.png,750502560,,,,,,,,,,,,FALSE,
Nissan,Versa,23.24030169,14358,2021,42474,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168707065/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_146_14.png,515039724,,,,,,,,,,,,FALSE,
Nissan,Versa,23.22870465,14249,2021,42650,1/12/2023,CarsDirect,,Images/2023_01_12_131_13.png,518812535,,,,,,,,,,,,FALSE,
Nissan,Versa,23.07724271,14358,2021,42650,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170712364/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_57_17.png,517173900,,,,,,,,,,,,FALSE,
Nissan,Versa,23.07724271,14358,2021,42650,12/29/2022,CarsDirect,,Images/2022_12_29_71_17.png,518825070,,,,,,,,,,,,FALSE,
Hyundai,Accent,22.07156609,10797,2017,44998,1/12/2023,CarsDirect,,Images/2023_01_12_2_2.png,636751966,,,,,,,,,,,,FALSE,
Nissan,Versa,21.81342011,13689,2021,45036,12/29/2022,CarsDirect,,Images/2022_12_29_179_12.png,547543881,,,,,,,,,,,,FALSE,
Honda,Fit,21.53474857,13995,2015,50000,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2143836470/honda/fit?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_133_19.png,504715655,,,,,,,,,,,,FALSE,
Honda,Fit,21.53474857,13995,2015,50000,1/12/2023,CarsDirect,,Images/2023_01_12_168_25.png,504631685,,,,,,,,,,,,FALSE,
Nissan,Versa,21.14445048,14186,2021,45036,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168626374/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_88_13.png,546106536,,,,,,,,,,,,FALSE,
Nissan,Leaf,19.52457722,10800,2015,45826,1/12/2023,CarsDirect,,Images/2023_01_12_32_21.png,554857140,,,,,,,,,,,,FALSE,
Chevrolet,Cruze Limited,19.44766386,14900,2016,40788,12/29/2022,CarsDirect,,Images/2022_12_29_90_19.png,743737772,,,,,,,,,,,,FALSE,
Chevrolet,Cruze Limited,19.44766386,14900,2016,40788,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2171895556/chevrolet/cruze-limited?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_86_20.png,740057472,,,,,,,,,,,,FALSE,
Nissan,Versa,19.17739696,14849,2021,46293,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168720026/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_70_7.png,561348918,,,,,,,,,,,,FALSE,
Hyundai,Accent,18.70998062,13351,2017,44998,12/29/2022,CarsDirect,,Images/2022_12_29_45_1.png,636768670,,,,,,,,,,,,FALSE,
Nissan,Versa,18.59805743,13995,2018,45187,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_196_7.png,548383746,,,,,,,,,,,,FALSE,1
Nissan,Versa,18.59805743,13995,2018,45187,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2169961397/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_179_8.png,547124196,,,,,,,,,,,,FALSE,
Hyundai,Accent,17.90395057,13991,2017,44998,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2160642743/hyundai/accent?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_51_0.png,635326762,,,,,,,,,,,,FALSE,
Nissan,Sentra,17.63854782,12900,2015,44909,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2167596973/nissan/sentra?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_150_12.png,542949810,,,,,,,,,,,,FALSE,
