Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Kia,Rio,39.53495744641683,12990,2015,31570,2023-04-05,Carvana,True,1,,2015_Kia_Rio,192360480
Ford,Focus,39.06590705272866,17990,2016,45317,2023-04-05,Carvana,True,1,,,368944338
Nissan,Versa,37.95927407795329,17798,2021,44663,2023-04-05,Carvana,True,1,,,544876168
Nissan,Sentra,37.85184249000001,13590,2010,35364,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2683338,2010_Nissan_Sentra,429506820
Fiat,500,37.646812819288485,14590,2016,31942,2023-04-05,Carvana,True,1,,,259199778
Honda,Civic,37.390356649857736,15590,2013,48793,2023-04-05,Carvana,True,1,,,493985695
Ford,Fusion,37.381119270677374,17990,2017,49833,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2623351,2017_Ford_Fusion,406046424
Nissan,Sentra,37.25591166995416,14590,2014,41203,2023-04-05,Carvana,True,1,,,501136032
Chevrolet,Impala,36.87447614278783,14590,2011,36029,2023-04-05,Carvana,True,1,,,655240311
Chevrolet,Impala,36.87447614278783,14590,2011,36029,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2658806,2011_Chevrolet_Impala,655240311
Mini,Hardtop,36.8064566427818,16990,2014,22738,2023-04-05,Carvana,True,1,,,187458808
Fiat,500x,36.091842770399595,17990,2016,24930,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2672326,2016_FIAT_500X,203626080
Ford,Escape,35.91839301008566,17990,2013,44435,2023-04-05,Carvana,True,1,,,361568520
Nissan,Versa,35.82656342238294,17590,2019,44730,2023-04-05,Carvana,True,1,,2019_Nissan_Versa,544937470
Nissan,Sentra,35.760903945913505,14990,2015,44364,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2345251,2015_Nissan_Sentra,539508660
Hyundai,Accent,35.719534723182115,15990,2017,45498,2023-04-05,Carvana,True,1,,,645744162
Chevrolet,Cruze,35.46176828106673,16590,2017,44241,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2659573,2017_Chevrolet_Cruze,806010123
Nissan,Sentra,35.38900207612608,17990,2017,40468,2023-04-05,Carvana,True,1,,,493521636
Not recognized,None,35.2993858282716,15590,2009,40066,2023-04-05,Carvana,True,1,,,1129078916
Nissan,Versa,34.918775609047415,15590,2015,44040,2023-04-05,Carvana,True,1,,,535093900
Volkswagen,Jetta,34.851519627693946,16590,2014,39447,2023-04-05,Carvana,True,1,,,797282880
Hyundai,Elantra,34.836226067718606,16995,2020,49885,2023-04-05,Carvana,True,1,,,709418710
Volkswagen,E-golf,34.70914674643948,17590,2016,40744,2023-04-05,Carvana,True,1,,,824987400
Volkswagen,E-golf,34.52548028907955,15990,2016,45484,2023-04-05,Carvana,True,1,,,920219400
Hyundai,Elantra,34.40796274640387,17990,2017,42041,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2679433,2017_Hyundai_Elantra,597858499
Hyundai,Accent,33.92850660921342,16990,2019,49441,2023-04-05,Carvana,True,1,,,702113673
Buick,Verano,33.836514887785086,16990,2013,25552,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2641675,2013_Buick_Verano,260544900
Hyundai,Accent,33.540385601293195,14990,2014,46013,2023-04-05,Carvana,True,1,,,651659294
Fiat,500,32.825400760041084,15990,2017,37677,2023-04-05,Carvana,True,1,,,305513076
Fiat,500,32.825400760041084,15990,2017,37677,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2663168,2017_FIAT_500,305513076
Smart,Fortwo,30.91977093250074,15590,2016,40047,2023-04-05,Carvana,True,1,,,406479960
Bmw,I3,30.90563046102729,16590,2014,33447,2023-04-05,Carvana,True,1,,,203082174
Kia,Rio,30.006362344878372,15990,2018,44338,2023-04-05,Carvana,True,1,,,269861352
Bmw,I3,29.977161287226235,16990,2014,33918,2023-04-05,Carvana,True,1,,,205917976
Hyundai,Sonata,29.570891598126963,16990,2013,45194,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2673467,2013_Hyundai_Sonata,639784914
Mitsubishi,Outlander Sport,29.421833674950882,17990,2016,35943,2023-04-05,Carvana,True,1,,,732436530
Dodge,Dart,29.346079193374425,16590,2016,39963,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2663695,2016_Dodge_Dart,404751480
Buick,Encore,27.700518701567685,17590,2017,41994,2023-04-05,Carvana,True,1,,2017_Buick_Encore,426359070
Mini,Hardtop,27.61167969984733,14590,2014,44716,2023-04-05,Carvana,True,1,,,362989606
Buick,Verano,27.60682633848784,16590,2013,37246,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2666141,2013_Buick_Verano,377568570
Volkswagen,Beetle,27.581614078530208,17590,2012,45090,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2616529,2012_Volkswagen_Beetle,910060380
Mercedes-benz,C-class,27.215934726049383,15590,2009,34952,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2525337,2009_Mercedes-Benz_C-Class,915787894
Bmw,I3,26.580517155044376,13590,2014,49343,2023-04-05,Carvana,True,1,,,298837086
Bmw,I3,26.580517155044376,13590,2014,49343,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2484300,2014_BMW_i3,298837086
Mini,Hardtop 4 Door,26.542825755746225,16590,2016,44924,2023-04-05,Carvana,True,1,,,368305896
Kia,Forte,26.330583938045333,14990,2014,45907,2023-04-05,Carvana,True,1,,,279318794
Fiat,500x,25.892897349784683,15990,2016,47773,2023-04-05,Carvana,True,1,,,386840472
Kia,Forte,25.831712057615793,15590,2015,47073,2023-04-05,Carvana,True,1,,,286505035
Mini,Hardtop 2 Door,25.064466067765352,16990,2015,44598,2023-04-05,Carvana,True,1,,,365406380
Mini,Hardtop 2 Door,25.064466067765352,16990,2015,44598,2023-04-05,Carvana,True,1,,,365406380
Fiat,500l,24.70195913018208,14990,2014,48905,2023-04-05,Carvana,True,1,,2014_FIAT_500L,395417720
Mercedes-benz,B-class,22.87067480184162,16990,2014,46824,2023-04-05,Carvana,True,1,,,1228562428
