Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments,OnSale,Days
Ford,Fiesta,56.59178822,13000.0,2019,24861,12/29/2022,CarsDirect,,Images/2022_12_29_144_5.png,205145436,,,,,,,,,,,,False,
Ford,Fiesta,55.39309503358748,14723.0,2019,30010,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_123_4.png,247219350,,,,,,,,,,,,False,8.0
Ford,Fiesta,54.82654749,13500.0,2019,30007,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_155_3.png,246710532,,,,,,,,,,,,False,8.0
Ford,Fiesta,54.20987136,14159.0,2019,24861,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2163996221/ford/fiesta?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_150_2.png,205619814,,,,,,,,,,,,False,
Ford,Fiesta,51.331298598352845,12450.0,2019,40007,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_49_4.png,326906232,,,,,,,,,,,,False,1.0
Ford,Fiesta,50.997142927506886,12650.0,2019,39934,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_165_5.png,326301984,,,,,,,,,,,,False,11.0
Ford,Fiesta,48.70736533,13500.0,2019,30007,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_59_5.png,246224532,,,,,,,,,,,,False,1.0
Ford,Focus,44.007579100503705,13285.0,2018,44287,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_90_21.png,360407364,,,,,,,,,,,,False,1.0
Ford,Fiesta,43.66722446,12324.0,2016,32706,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_17_0.png,266920776,,,,,,,,,,,,False,1.0
Ford,Focus,43.644278695326655,13482.0,2018,44287,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_178_19.png,360383294,,,,,,,,,,,,False,11.0
Ford,Fiesta,42.95007011,12715.0,2016,32706,1/12/2023,CarsDirect,,Images/2023_01_12_41_4.png,266945364,,,,,,,,,,,,False,
Ford,Fiesta,41.93421872,13274.0,2016,32706,12/29/2022,CarsDirect,,Images/2022_12_29_84_4.png,267006588,,,,,,,,,,,,False,
Hyundai,Elantra,41.80097328,14600.0,2018,25450,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_25_9.png,363696900,,,,,,,,,,,,False,8.0
