Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,OnSale,Days,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments
Hyundai,Accent Se,72.78375791330556,10495.0,2016,9633,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663609192&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,Image not found,142741656,True,35.0,,,,,,,,,,,
Ford,Fusion Sel,72.63642916277468,17999.0,2019,7226,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=677414160&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,Used_2020_Hyundai_Accent_SEL,71316456,True,35.0,,,,,,,,,,,
Nissan,Kicks S,72.03264639944189,16999.0,2021,2041,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=675795480&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=125&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D125&clickType=listing,Used_2017_Subaru_Legacy_3.6R_Limited,33316662,True,35.0,,,,,,,,,,,
Honda,Hr-v Lx,71.39329416456296,17999.0,2021,12498,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=675730275&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=125&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D125&clickType=listing,Used_2016_Jeep_Patriot_Sport_w_Tire_&_Wheel_Group,135237793,True,35.0,,,,,,,,,,,
Honda,Civic Lx,68.75368977692325,17000.0,2020,16417,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=675888265&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=125&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D125&clickType=spotlight,Used_2022_Cadillac_Escalade_Sport_Platinum,175059700,True,35.0,,,,,,,,,,,
Nissan,Sentra Sr,67.72852854194629,16595.0,2018,2402,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=675658927&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=175&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D175&clickType=listing,Used_2016_Jeep_Patriot_Sport_w_Tire_&_Wheel_Group,39090201,True,35.0,,,,,,,,,,,
Toyota,Corolla Le,67.19865403061308,16500.0,2022,23485,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=673661956&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=175&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D175&clickType=listing,Used_2020_Chevrolet_Spark_LT,295975020,True,35.0,,,,,,,,,,,
Nissan,Versa Sv,67.10436796557985,17995.0,2022,6944,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=673341563&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=275&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D275&clickType=listing,Used_2022_Nissan_Versa_SV,93889928,True,35.0,,,,,,,,,,,
Nissan,Versa 1.6 Sv,66.85414077787439,14882.0,2019,10119,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=675642071&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,Used_2019_Subaru_Crosstrek_2.0i,134368110,True,35.0,,,,,,,,,,,
Chevrolet,C/k 20,66.35192695558642,8600.0,1982,10859,2023-04-04,CarGuru,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=18000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=353504743/NONE,2016_Ford_Focus_SE,197108442,True,1.0,,,,,,,,,,,
